Global_AMRscore,Global_AMRclass,Global_AMRgene,Global_VFscore,China_AMRscore,China_AMRclass,China_AMRgene,China_VFscore,Africa_AMRscore,Africa_AMRclass,Africa_AMRgene,Africa_VFscore,EU_AMRscore,EU_AMRclass,EU_AMRgene,EU_VFscore,USA_AMRscore,USA_AMRclass,USA_AMRgene,USA_VFscore
0.64,3.47,5.46,0.66,1.1,6.45,11.59,0.96,1.08,6.01,9.4,0.71,0.57,2.95,4.33,0.59,0.52,2.61,3.72,0.41
0.64,4.12,6.8,0.57,1.25,7.08,12.42,1.13,1.09,6.11,9.71,0.68,0.65,3.32,4.52,0.41,0.54,2.36,3.14,0.38
0.7,3.5,5.56,0.51,1.17,6.79,11.2,1.02,1.2,6.21,9.83,0.71,0.7,3.54,4.91,0.45,0.46,2.36,3.3,0.37
0.8,4.27,6.26,0.67,1.07,6.34,11.03,1.29,1.08,5.85,9.06,0.74,0.65,3.32,4.56,0.54,0.44,2.36,3.28,0.37
0.74,4.4,7.29,0.52,1.13,7.15,13.06,1.42,1.06,5.9,9.1,0.61,0.7,3.22,4.71,0.59,0.47,2.65,3.81,0.35
0.67,3.8,5.59,0.69,1.21,7.44,13.0,1.34,1.14,5.97,9.36,0.7,0.62,3.35,4.49,0.46,0.47,2.18,3.06,0.3
0.79,4.5,7.21,0.89,1.35,7.45,12.79,1.15,1.11,6.1,10.32,0.98,0.77,3.78,5.42,0.48,0.52,2.84,3.93,0.57
0.74,4.42,7.25,0.79,1.33,7.22,13.3,1.0,1.13,5.9,9.02,0.67,0.69,3.25,4.72,0.38,0.52,2.27,3.13,0.51
0.67,3.89,6.14,0.58,1.35,7.11,11.66,1.22,1.15,6.09,9.61,0.79,0.66,3.29,4.5,0.52,0.65,2.92,4.1,0.44
0.64,3.98,6.62,0.75,1.22,7.25,12.68,1.18,1.08,5.99,9.62,0.82,0.68,3.08,4.22,0.54,0.47,2.42,3.43,0.32
0.68,3.6,5.6,0.82,1.24,7.39,12.86,0.94,1.13,6.15,10.08,0.79,0.69,3.46,4.74,0.41,0.39,2.4,3.41,0.34
0.83,4.35,6.86,0.56,1.35,6.96,11.77,1.31,1.11,6.01,9.44,0.78,0.62,2.55,3.52,0.55,0.5,2.4,3.36,0.33
0.75,3.97,6.72,0.51,1.19,6.9,12.44,0.89,1.1,6.08,9.83,0.74,0.74,3.21,4.36,0.63,0.53,2.63,3.88,0.34
0.88,4.84,7.75,1.06,1.25,7.18,11.62,1.16,1.1,6.04,9.87,0.74,0.78,3.57,4.79,0.58,0.46,2.36,3.16,0.35
0.59,4.06,6.66,0.51,1.14,7.0,12.41,1.14,1.1,6.34,9.8,0.62,0.45,2.55,3.66,0.59,0.46,2.46,3.46,0.34
0.66,4.06,6.14,0.66,1.17,7.1,12.36,0.89,1.11,6.05,9.53,0.7,0.65,3.26,4.56,0.54,0.41,2.5,3.46,0.27
0.87,4.9,7.62,0.56,1.4,7.56,12.96,1.01,1.11,5.86,9.13,0.76,0.61,3.1,4.31,0.59,0.49,2.54,3.45,0.36
0.66,3.43,5.36,0.67,1.25,7.14,12.5,1.32,1.12,6.13,9.54,0.74,0.69,3.18,4.72,0.48,0.33,1.87,2.72,0.38
0.73,3.7,5.39,0.49,1.08,6.73,11.75,0.83,1.1,6.24,9.79,0.71,0.54,3.01,4.46,0.54,0.48,2.55,3.58,0.3
0.86,4.23,6.79,0.87,1.2,7.31,12.97,1.02,1.1,6.08,9.84,0.69,0.63,2.99,4.26,0.51,0.5,2.63,3.72,0.33
0.74,4.49,7.15,0.52,1.08,7.68,14.44,0.96,1.09,6.27,9.83,0.8,0.67,3.29,4.6,0.58,0.54,2.77,3.74,0.5
0.68,3.86,5.98,0.69,1.16,7.17,12.98,1.07,1.09,6.04,9.57,0.68,0.73,3.31,4.86,0.59,0.53,2.51,3.54,0.36
0.77,4.52,7.52,0.82,1.23,7.32,12.74,1.14,1.06,6.08,9.71,0.79,0.76,3.3,4.83,0.45,0.54,2.49,3.43,0.38
0.71,3.77,5.73,0.72,1.2,7.01,12.38,1.14,1.07,5.61,8.8,0.69,0.71,3.6,5.03,0.54,0.56,2.8,4.06,0.38
0.78,3.99,5.74,0.66,1.35,7.28,12.32,1.21,1.1,5.76,9.07,0.69,0.65,3.05,4.14,0.4,0.57,2.59,3.58,0.39
0.66,4.22,6.94,0.62,1.19,6.97,12.16,1.47,1.0,5.72,9.2,0.7,0.55,3.2,4.52,0.55,0.34,1.72,2.24,0.24
0.82,4.78,7.48,0.62,1.1,6.65,11.59,1.01,1.05,5.92,9.17,0.66,0.77,3.44,4.78,0.46,0.55,2.64,3.63,0.51
0.7,4.36,7.52,0.81,1.05,6.5,11.71,0.75,1.04,5.83,8.87,0.65,0.64,3.6,5.21,0.54,0.52,2.47,3.42,0.38
0.82,4.31,6.37,0.64,1.25,7.44,13.14,1.12,1.15,6.28,9.93,0.72,0.64,3.22,4.88,0.49,0.56,2.67,3.78,0.4
0.68,4.2,6.94,0.65,1.26,7.6,13.36,1.16,1.06,6.08,9.79,0.79,0.64,2.9,4.1,0.48,0.48,2.72,3.99,0.34
0.81,5.24,7.91,0.68,1.07,7.01,13.06,1.23,1.03,5.88,9.2,0.6,0.62,3.1,4.0,0.6,0.36,1.99,2.78,0.46
0.82,4.43,7.1,0.65,1.15,6.79,11.61,0.84,1.12,6.15,9.51,0.7,0.52,3.19,4.48,0.41,0.47,2.55,3.63,0.36
0.72,3.95,6.07,0.75,1.25,7.2,12.08,1.18,1.09,5.97,9.62,0.78,0.72,3.43,4.71,0.52,0.56,2.64,3.7,0.37
0.61,3.43,5.37,0.78,1.28,7.45,13.4,1.4,1.13,6.4,10.27,0.8,0.61,3.18,4.41,0.45,0.38,1.93,2.59,0.42
0.85,4.15,6.92,0.55,1.4,7.36,12.52,1.4,1.01,5.71,9.13,0.6,0.59,3.21,4.5,0.67,0.5,2.65,3.71,0.43
0.79,4.96,8.03,0.54,1.17,7.09,12.42,1.22,1.07,5.9,9.18,0.7,0.61,2.95,4.15,0.48,0.5,2.55,3.57,0.44
0.79,4.47,6.62,0.9,1.19,7.29,12.57,1.33,0.94,5.68,9.24,0.63,0.66,3.39,4.68,0.48,0.37,1.88,2.85,0.23
0.85,4.92,7.48,0.6,1.45,7.5,13.29,1.0,1.2,6.39,9.98,0.72,0.69,3.5,4.89,0.45,0.44,2.42,3.37,0.27
0.57,3.44,5.28,0.57,1.05,6.73,11.97,1.06,1.1,6.15,9.98,0.71,0.62,3.15,4.35,0.41,0.39,2.35,3.39,0.29
0.66,4.22,6.87,0.69,1.23,6.84,11.72,1.25,1.07,5.98,9.64,0.64,0.7,3.45,5.0,0.56,0.47,2.29,3.0,0.36
0.9,5.15,8.49,0.64,1.26,7.21,13.05,1.06,1.06,5.93,9.31,0.68,0.5,3.09,4.43,0.49,0.43,2.32,3.24,0.32
0.76,4.12,6.6,0.73,1.27,7.2,12.26,1.21,1.04,5.68,8.71,0.6,0.58,3.37,4.78,0.34,0.46,2.47,3.65,0.22
0.6,4.06,6.41,0.57,1.26,7.37,13.77,1.31,1.12,6.14,9.92,0.74,0.68,3.03,4.06,0.51,0.55,2.62,3.61,0.39
0.83,4.87,7.58,0.74,1.29,6.76,11.21,1.12,1.02,5.88,9.1,0.6,0.72,3.02,4.24,0.44,0.48,2.71,3.94,0.41
0.65,3.82,5.61,0.48,1.23,7.05,11.89,0.86,1.06,5.9,9.28,0.71,0.7,3.3,4.32,0.58,0.43,2.2,3.07,0.46
0.99,5.15,8.07,0.72,1.27,7.23,12.48,1.16,1.07,6.16,9.75,0.81,0.53,2.88,4.01,0.44,0.43,2.29,3.34,0.32
0.67,3.53,5.68,0.69,1.21,6.62,11.02,1.2,1.12,5.82,9.06,0.84,0.59,2.63,3.81,0.63,0.55,2.53,3.56,0.39
0.68,3.69,5.67,0.79,1.2,7.13,12.39,0.98,1.08,6.1,9.53,0.66,0.48,3.02,4.47,0.61,0.43,1.97,2.57,0.26
0.6,3.86,6.67,0.7,1.34,7.6,13.38,1.33,1.09,5.92,9.14,0.71,0.64,3.2,4.37,0.53,0.44,2.35,3.29,0.33
0.89,4.63,7.54,0.78,1.42,7.11,12.12,1.29,1.09,6.03,9.91,0.67,0.57,2.77,4.05,0.65,0.67,3.27,4.64,0.54
0.67,3.82,5.92,0.61,1.26,6.76,11.46,1.2,1.14,5.83,9.43,0.82,0.9,3.73,5.43,0.5,0.56,2.68,3.74,0.51
0.79,4.06,6.19,0.52,1.3,7.26,12.07,0.87,1.08,6.45,10.24,0.76,0.62,2.67,3.57,0.31,0.54,2.49,3.53,0.36
0.8,4.2,6.37,0.98,1.31,7.29,12.36,1.18,1.05,5.83,9.04,0.58,0.7,3.47,4.83,0.7,0.44,2.3,3.08,0.32
0.66,3.66,5.64,0.57,1.17,6.97,11.79,1.17,1.14,6.4,10.32,0.8,0.58,2.89,3.93,0.42,0.48,2.59,3.67,0.39
0.73,4.17,6.59,0.66,1.27,7.1,12.08,1.35,1.03,5.72,9.15,0.61,0.66,3.14,4.23,0.37,0.59,2.82,4.01,0.49
0.79,4.61,7.63,0.84,1.09,6.84,11.87,1.51,1.14,6.02,9.28,0.77,0.73,3.15,4.38,0.46,0.53,2.84,4.11,0.41
0.73,4.63,7.03,0.6,1.37,7.15,11.88,1.24,1.07,6.05,9.39,0.66,0.6,3.11,4.24,0.43,0.38,2.2,3.0,0.36
0.61,3.94,6.0,0.78,1.24,7.24,12.14,1.16,1.17,6.12,9.79,0.78,0.6,3.03,4.27,0.32,0.48,2.46,3.47,0.43
0.93,4.93,7.96,0.74,1.34,7.19,12.27,1.28,1.15,6.33,10.4,0.8,0.66,3.37,4.82,0.42,0.49,2.38,3.27,0.34
0.81,4.49,6.71,0.68,1.22,6.57,11.22,1.28,1.15,6.26,10.3,0.89,0.68,2.79,3.5,0.5,0.55,2.74,3.9,0.41
0.57,3.46,5.24,0.52,1.18,6.73,11.33,1.28,1.06,5.85,8.89,0.61,0.74,3.15,4.25,0.37,0.46,2.45,3.45,0.49
0.88,4.16,6.38,0.68,1.21,7.13,11.98,0.96,1.1,6.07,9.91,0.81,0.57,3.06,4.35,0.47,0.41,2.14,2.96,0.31
0.65,3.94,6.1,0.47,1.26,7.16,12.33,1.21,1.05,6.03,9.73,0.76,0.57,3.47,4.87,0.61,0.47,2.28,3.05,0.28
0.9,4.56,6.57,0.75,1.34,7.55,13.38,1.18,1.12,6.17,9.99,0.88,0.61,3.07,4.55,0.39,0.57,2.64,3.79,0.48
0.78,4.13,6.43,0.57,1.25,7.08,12.29,1.17,1.05,5.84,9.05,0.66,0.72,3.2,4.36,0.48,0.49,2.64,3.97,0.38
0.89,4.59,7.29,0.55,1.08,6.77,11.52,1.12,1.07,5.77,8.78,0.58,0.53,2.92,4.15,0.57,0.32,2.03,2.78,0.39
0.75,4.39,6.66,0.64,1.2,7.16,12.84,1.08,1.05,5.82,9.28,0.61,0.66,3.31,4.41,0.56,0.49,2.29,3.01,0.42
0.72,4.15,6.55,0.58,1.19,6.89,12.88,1.12,1.03,5.82,9.14,0.61,0.67,3.33,4.49,0.5,0.33,1.91,2.7,0.41
0.79,3.95,6.04,0.58,1.2,7.33,13.84,1.3,1.01,5.76,9.13,0.74,0.58,3.01,4.19,0.46,0.5,2.3,3.28,0.41
0.67,3.91,5.91,0.63,1.3,6.83,11.62,1.22,1.03,5.84,9.05,0.68,0.58,3.03,4.35,0.48,0.44,2.24,3.01,0.4
0.76,3.92,6.08,0.57,1.26,7.39,13.51,0.81,1.11,6.03,9.53,0.67,0.77,3.19,4.71,0.5,0.47,2.49,3.47,0.3
0.74,4.08,6.39,0.82,1.28,6.83,11.36,1.39,1.03,5.8,8.96,0.69,0.6,3.04,4.34,0.52,0.43,2.13,2.98,0.33
0.85,4.44,6.99,0.62,1.4,7.68,13.81,0.95,1.1,6.25,9.93,0.8,0.86,3.35,4.42,0.53,0.41,2.13,3.18,0.32
0.81,4.6,7.43,0.56,1.27,6.87,12.29,1.07,1.09,5.69,8.88,0.66,0.67,3.02,4.37,0.63,0.5,2.4,3.34,0.26
0.7,3.78,5.81,0.43,1.26,6.9,11.66,0.93,1.04,6.02,9.42,0.77,0.59,2.77,3.96,0.6,0.45,2.42,3.32,0.35
0.9,4.32,6.73,0.81,1.33,6.97,11.51,1.06,1.12,6.16,9.83,0.77,0.64,2.71,3.58,0.42,0.45,2.23,3.04,0.4
0.89,4.94,8.06,0.54,1.17,7.18,12.29,1.08,0.95,5.68,8.62,0.64,0.59,3.38,4.95,0.47,0.36,2.0,2.89,0.32
0.62,3.68,5.86,0.38,1.2,6.97,11.73,1.07,1.03,5.82,9.25,0.73,0.64,3.53,4.95,0.45,0.5,2.41,3.23,0.5
0.67,4.06,6.1,0.56,1.26,7.68,13.93,0.92,1.12,5.97,8.82,0.6,0.59,2.8,3.74,0.59,0.35,2.06,2.97,0.28
0.88,4.47,6.5,0.57,1.27,7.11,11.98,1.04,1.07,5.77,8.94,0.48,0.65,3.84,5.42,0.53,0.35,1.99,2.77,0.3
0.83,4.73,7.37,0.59,1.39,7.7,13.41,1.18,1.08,6.0,9.15,0.67,0.73,3.67,5.11,0.43,0.48,2.56,3.58,0.38
0.71,4.11,7.1,0.56,1.32,7.4,13.2,0.84,1.05,6.14,9.68,0.71,0.57,3.17,4.57,0.61,0.32,1.95,2.76,0.27
0.8,4.08,6.28,0.53,1.27,7.31,13.28,0.81,1.12,6.3,9.61,0.7,0.65,3.21,4.47,0.3,0.5,2.53,3.71,0.38
0.68,3.93,6.48,0.58,1.27,6.85,10.98,1.23,1.23,6.25,10.15,0.96,0.6,3.26,4.54,0.29,0.35,1.95,2.9,0.3
0.85,4.91,8.01,0.73,1.39,7.34,11.7,1.23,1.08,5.8,9.19,0.7,0.74,3.43,4.84,0.61,0.48,2.38,3.25,0.45
0.77,4.45,6.78,0.48,1.14,6.89,11.56,1.16,1.17,6.01,9.63,0.84,0.57,3.0,4.16,0.53,0.45,2.61,3.71,0.29
0.9,4.23,6.3,0.55,1.11,7.03,11.64,1.15,1.11,6.01,9.72,0.73,0.77,3.37,4.57,0.45,0.47,2.43,3.44,0.35
0.67,3.98,6.29,0.67,1.23,7.2,12.94,0.85,0.99,5.63,8.71,0.62,0.58,2.61,3.72,0.28,0.42,2.08,2.72,0.34
0.7,3.97,5.93,0.7,1.3,7.43,13.02,1.19,1.09,6.06,9.62,0.75,0.52,2.66,3.67,0.57,0.42,2.34,3.07,0.31
0.91,4.65,7.08,0.71,1.21,7.15,12.81,1.08,1.12,6.32,9.96,0.64,0.8,3.25,4.58,0.66,0.38,1.76,2.39,0.28
0.9,4.95,8.03,0.68,1.24,7.23,13.31,1.07,1.1,5.95,9.69,0.65,0.58,2.83,3.92,0.44,0.42,2.18,3.0,0.39
0.99,5.0,7.12,0.76,1.26,6.8,11.97,1.02,1.05,5.96,9.38,0.65,0.59,2.92,4.05,0.49,0.41,2.06,2.95,0.33
0.6,3.98,6.6,0.59,1.2,7.26,13.22,1.26,1.07,5.9,9.15,0.68,0.55,2.69,3.72,0.53,0.7,3.1,4.2,0.5
0.64,4.48,7.05,0.68,1.35,7.32,12.49,1.19,1.13,6.11,9.6,0.78,0.61,2.97,4.35,0.59,0.61,2.9,4.23,0.53
0.83,4.33,6.11,0.78,1.2,6.4,10.61,1.14,1.03,5.91,9.55,0.72,0.73,3.32,4.59,0.38,0.47,2.31,3.37,0.37
0.8,4.47,7.12,0.81,1.31,7.37,13.92,1.06,1.14,6.12,9.22,0.76,0.67,3.11,4.26,0.54,0.48,2.47,3.57,0.43
0.7,4.12,6.51,0.54,1.33,7.26,11.85,1.02,1.08,6.03,9.39,0.7,0.53,3.31,4.67,0.43,0.39,1.91,2.75,0.36
0.82,4.79,7.79,0.75,1.32,7.82,14.63,1.13,1.14,6.12,9.9,0.75,0.65,3.64,5.47,0.4,0.39,2.03,2.69,0.34
0.69,4.07,6.65,0.54,1.34,7.16,11.61,0.97,1.14,5.79,8.98,0.67,0.74,3.33,4.77,0.43,0.45,2.51,3.72,0.38
0.6,4.11,6.39,0.75,1.22,7.1,13.51,0.93,1.12,6.02,9.62,0.72,0.75,2.54,3.31,0.56,0.46,2.34,3.22,0.31
0.71,4.13,6.33,0.62,1.35,7.09,11.83,1.22,1.05,5.92,9.17,0.71,0.61,3.33,5.01,0.52,0.4,2.26,3.25,0.33
0.77,4.14,5.85,0.44,1.23,7.6,13.27,1.16,1.15,6.16,9.61,0.92,0.81,3.85,5.68,0.5,0.31,1.73,2.51,0.37
0.6,3.68,5.65,0.66,1.23,7.27,12.66,1.13,1.12,6.13,9.58,0.69,0.55,3.03,4.3,0.58,0.52,2.48,3.46,0.41
0.67,4.35,7.08,0.49,1.23,7.45,13.65,0.98,1.06,6.01,9.44,0.66,0.72,3.48,4.83,0.62,0.55,2.48,3.55,0.32
0.61,3.97,5.96,0.7,1.22,7.16,12.56,1.22,1.18,6.16,9.63,0.65,0.65,3.26,4.31,0.48,0.43,2.27,3.04,0.25
0.85,4.48,7.02,0.67,1.2,7.02,12.54,0.97,1.08,5.77,9.01,0.67,0.59,2.86,3.93,0.44,0.41,2.33,3.31,0.37
0.67,3.57,5.54,0.69,1.31,7.2,12.82,0.68,1.11,6.1,9.53,0.73,0.58,3.27,4.71,0.43,0.4,2.1,2.84,0.28
0.78,4.08,6.41,0.47,1.18,7.19,12.71,0.92,1.13,6.08,10.0,0.76,0.66,3.16,4.69,0.37,0.45,2.37,3.28,0.38
0.65,4.15,6.7,0.47,1.15,7.24,12.67,1.08,1.02,5.88,9.05,0.66,0.74,3.33,4.73,0.57,0.5,2.63,3.66,0.38
0.59,3.72,5.69,0.64,1.33,7.58,13.47,1.34,1.12,5.97,9.53,0.9,0.67,3.19,4.55,0.56,0.41,2.31,3.47,0.22
0.82,4.39,6.85,0.58,1.08,6.93,12.05,1.29,1.06,6.23,9.96,0.62,0.78,3.49,4.97,0.41,0.56,2.77,3.91,0.47
0.79,4.18,6.48,0.86,1.33,6.31,10.65,1.18,1.1,6.15,10.2,0.71,0.55,3.01,4.05,0.47,0.48,2.27,3.05,0.36
0.62,3.86,5.95,0.88,1.26,6.99,11.95,1.05,1.15,6.09,9.53,0.7,0.59,3.01,4.19,0.49,0.46,2.38,3.16,0.42
0.83,4.01,6.15,0.68,1.16,6.8,11.42,1.31,1.02,5.89,9.59,0.76,0.77,3.5,4.98,0.64,0.46,2.41,3.44,0.44
0.7,4.17,6.81,0.55,1.13,6.95,11.79,1.07,1.16,6.16,9.38,0.79,0.69,3.01,3.93,0.43,0.59,2.98,4.32,0.52
0.64,4.0,6.24,0.69,1.16,7.47,12.48,1.08,1.09,5.92,9.28,0.73,0.63,2.96,4.09,0.55,0.4,2.08,2.85,0.24
0.91,4.71,7.08,0.83,1.24,7.53,12.95,1.09,1.08,5.77,9.06,0.59,0.64,3.37,4.89,0.65,0.61,2.93,4.15,0.42
0.94,5.16,7.84,0.85,1.26,6.81,11.41,0.85,1.08,6.03,9.62,0.65,0.56,2.89,4.16,0.38,0.46,2.29,3.19,0.31
0.85,4.4,6.71,0.79,1.15,7.25,13.13,0.89,1.11,5.98,9.4,0.67,0.45,3.0,4.47,0.75,0.44,2.12,2.88,0.45
0.81,4.45,7.03,0.71,1.1,6.44,11.09,1.01,1.15,6.19,10.18,0.81,0.62,3.21,4.7,0.57,0.42,2.36,3.63,0.31
0.77,4.05,6.27,0.64,1.23,7.38,12.53,1.15,1.09,6.01,9.63,0.7,0.7,3.18,4.55,0.55,0.55,2.51,3.6,0.43
0.81,4.48,6.98,0.59,1.15,6.89,11.81,1.1,1.1,6.0,9.45,0.68,0.84,3.38,4.66,0.34,0.49,2.48,3.54,0.33
0.7,4.68,7.58,0.54,1.15,7.17,11.48,1.38,1.09,5.99,9.32,0.68,0.66,3.46,4.89,0.64,0.47,2.29,3.22,0.34
0.66,4.16,6.83,0.59,1.39,7.52,13.01,0.95,1.05,5.91,9.12,0.73,0.68,3.33,4.53,0.25,0.49,2.82,4.17,0.44
0.7,3.56,5.37,0.91,1.21,6.79,12.36,0.74,1.14,6.03,9.44,0.69,0.52,3.09,4.42,0.58,0.55,2.7,3.92,0.41
0.77,4.05,6.36,0.61,1.27,7.53,13.32,1.49,1.17,6.18,10.13,0.86,0.58,3.05,4.26,0.59,0.49,2.39,3.2,0.33
0.66,3.9,6.04,0.51,1.09,6.78,11.49,1.23,1.13,6.24,9.79,0.72,0.69,3.42,4.8,0.47,0.58,2.65,3.63,0.44
0.65,3.89,6.52,0.62,1.28,7.24,12.02,1.29,1.11,5.93,9.41,0.59,0.74,3.53,4.99,0.47,0.45,2.07,2.8,0.39
0.76,3.9,5.71,0.64,1.28,7.08,12.47,1.26,1.02,5.57,8.7,0.64,0.68,3.19,4.38,0.69,0.59,2.75,3.78,0.44
0.77,4.02,6.07,0.48,1.28,7.34,12.9,1.06,1.05,5.68,9.0,0.66,0.69,3.26,4.56,0.35,0.52,2.46,3.21,0.44
0.8,4.92,7.33,0.77,1.24,7.64,12.46,1.2,1.09,5.99,9.18,0.88,0.66,2.97,4.17,0.37,0.49,2.43,3.56,0.27
0.8,3.83,5.96,0.65,1.33,7.23,12.66,1.25,1.23,6.32,10.05,0.83,0.6,3.49,5.2,0.53,0.43,2.25,3.11,0.29
0.66,4.01,6.31,0.6,1.06,6.33,10.43,0.8,1.13,6.17,10.27,0.84,0.61,3.13,4.36,0.41,0.52,2.82,4.1,0.45
0.94,4.69,7.78,0.58,1.14,6.85,11.81,0.98,1.11,6.11,9.68,0.73,0.73,2.95,4.09,0.54,0.54,2.78,3.96,0.35
0.73,4.57,7.25,0.65,1.15,6.56,11.88,1.28,1.1,6.1,9.48,0.69,0.67,2.78,3.89,0.46,0.39,2.06,2.77,0.36
0.82,4.23,6.04,0.82,1.24,7.44,12.96,1.0,1.09,6.02,9.38,0.73,0.73,3.75,5.48,0.49,0.55,2.49,3.24,0.4
0.88,4.99,8.26,0.68,1.44,7.19,12.0,1.08,1.15,5.88,9.14,0.69,0.45,2.58,3.73,0.56,0.42,2.17,2.98,0.4
0.7,3.9,6.55,0.67,1.28,7.19,12.35,1.2,1.03,6.1,9.85,0.67,0.54,3.12,4.27,0.37,0.56,2.64,3.63,0.46
0.82,4.64,7.34,0.61,1.32,6.97,11.41,1.27,1.18,6.38,9.91,0.75,0.67,3.1,4.18,0.59,0.4,2.01,2.79,0.44
0.89,4.77,8.26,0.5,1.27,7.38,12.68,1.19,1.09,5.69,8.79,0.71,0.74,3.37,4.76,0.75,0.63,2.94,4.15,0.57
0.75,4.13,6.35,0.72,1.05,6.13,10.68,1.28,1.04,5.67,8.81,0.8,0.78,2.8,3.98,0.48,0.41,2.06,2.77,0.38
0.8,4.62,7.65,0.45,1.09,7.39,13.32,0.99,1.12,5.9,9.09,0.67,0.64,3.19,4.48,0.35,0.37,2.31,3.46,0.39
0.69,4.5,7.15,0.58,1.19,6.67,12.0,1.17,1.0,5.69,8.73,0.57,0.6,3.58,5.07,0.38,0.44,2.21,3.07,0.28
0.69,4.05,6.78,0.57,1.26,6.91,11.77,1.16,1.09,5.93,9.43,0.74,0.65,3.08,4.27,0.46,0.52,2.75,3.87,0.41
0.79,4.06,5.88,0.56,1.25,7.47,13.62,1.08,1.03,5.78,8.97,0.63,0.65,2.98,4.11,0.54,0.37,1.97,2.61,0.36
0.63,4.08,6.75,0.67,1.2,7.63,13.31,0.84,1.15,5.92,9.3,0.77,0.66,3.3,4.69,0.36,0.51,2.61,3.57,0.35
0.86,4.26,6.97,0.77,1.19,7.01,11.63,1.14,1.12,6.05,9.32,0.68,0.57,2.79,4.0,0.37,0.36,2.13,3.05,0.24
0.82,4.42,7.29,0.73,1.18,6.86,12.25,1.08,1.14,6.29,10.06,0.83,0.73,3.58,5.05,0.41,0.44,2.42,3.56,0.34
0.77,4.28,6.5,0.68,1.19,7.19,13.08,1.24,1.11,6.04,9.75,0.82,0.55,3.23,4.55,0.55,0.33,1.64,2.17,0.28
0.77,3.66,5.56,0.58,1.06,7.28,14.35,0.93,1.15,5.86,9.05,0.69,0.57,2.5,3.53,0.52,0.38,2.07,2.79,0.38
0.82,4.36,7.04,0.7,1.24,6.66,11.15,1.07,1.14,5.89,9.52,0.7,0.72,3.62,4.9,0.52,0.37,2.18,2.97,0.26
0.79,3.98,5.87,0.69,1.28,6.92,12.67,1.25,1.08,6.15,9.81,0.7,0.55,3.21,4.56,0.46,0.47,2.37,3.33,0.47
0.79,3.3,4.58,0.46,1.18,7.2,12.59,0.88,1.11,5.86,9.04,0.65,0.64,3.7,5.12,0.57,0.4,2.14,2.94,0.35
0.76,5.06,8.07,0.7,1.05,7.0,12.14,0.99,1.12,5.92,9.33,0.75,0.53,2.6,3.46,0.64,0.37,2.58,3.82,0.42
0.73,4.1,6.2,0.66,1.37,7.92,14.14,1.21,1.12,6.21,9.67,0.74,0.45,2.31,3.24,0.46,0.49,2.55,3.64,0.3
0.77,4.33,6.26,0.64,1.18,7.05,13.72,0.99,1.12,5.88,9.12,0.71,0.61,2.95,4.07,0.5,0.43,2.28,3.3,0.39
0.76,3.71,5.63,0.73,1.31,6.55,11.03,1.03,1.07,5.82,8.74,0.66,0.66,2.94,4.22,0.51,0.55,2.5,3.46,0.49
0.72,4.17,7.36,0.64,1.27,7.21,11.78,1.33,1.02,5.81,9.23,0.64,0.75,3.32,4.33,0.31,0.4,1.99,2.64,0.31
0.8,4.46,7.23,0.68,1.32,7.43,13.12,1.02,1.09,6.01,9.64,0.79,0.58,3.55,4.75,0.52,0.5,2.42,3.43,0.39
0.62,3.56,5.73,0.53,1.28,7.65,13.55,1.05,1.04,5.81,9.29,0.77,0.59,2.73,3.72,0.56,0.61,3.02,4.23,0.48
0.59,3.32,5.1,0.64,1.2,7.39,13.5,1.05,1.04,5.82,8.91,0.68,0.74,3.73,5.17,0.43,0.5,2.27,2.94,0.42
0.78,3.98,6.4,0.84,1.25,7.48,13.47,1.11,1.06,6.02,9.64,0.72,0.79,3.51,4.88,0.43,0.39,2.13,2.84,0.41
0.61,4.18,6.71,0.71,1.16,7.11,12.66,1.14,1.05,5.93,9.19,0.73,0.54,3.34,4.72,0.57,0.62,2.81,3.8,0.42
0.7,3.81,5.8,0.65,1.27,6.95,12.7,1.07,0.96,5.53,8.43,0.64,0.61,2.9,4.05,0.49,0.48,2.52,3.49,0.4
0.71,4.04,6.56,0.53,1.32,7.39,13.35,1.15,1.14,6.04,9.71,0.66,0.7,3.05,4.36,0.73,0.55,2.38,3.23,0.39
0.65,3.81,5.68,0.82,1.38,7.2,12.68,1.23,1.04,6.12,10.0,0.71,0.56,3.05,4.24,0.38,0.39,2.23,3.06,0.32
0.79,4.07,6.11,0.78,1.18,6.97,12.29,0.8,1.07,5.84,9.25,0.77,0.69,3.37,4.7,0.35,0.41,2.47,3.5,0.38
0.71,4.2,6.54,0.48,1.19,7.63,14.7,0.96,1.11,5.97,9.32,0.78,0.48,2.6,3.36,0.51,0.39,2.36,3.27,0.27
0.71,4.51,6.94,0.79,1.28,6.83,11.75,1.02,1.11,6.24,9.83,0.58,0.58,3.4,4.78,0.53,0.44,2.29,3.2,0.43
0.84,4.38,6.76,0.57,1.2,7.4,13.15,1.2,1.14,6.0,9.57,0.83,0.71,2.96,4.01,0.37,0.41,2.12,2.93,0.38
0.67,4.49,7.0,0.51,1.19,6.87,12.27,0.96,1.1,6.18,9.57,0.65,0.78,3.15,4.11,0.42,0.5,2.25,3.08,0.38
0.67,4.06,6.61,0.68,1.28,6.52,11.27,1.26,1.07,6.02,9.64,0.76,0.79,3.24,4.44,0.5,0.51,2.47,3.33,0.37
