Global_AMRscore,Global_AMRclass,Global_AMRgene,Global_VFscore,China_AMRscore,China_AMRclass,China_AMRgene,China_VFscore,Africa_AMRscore,Africa_AMRclass,Africa_AMRgene,Africa_VFscore,EU_AMRscore,EU_AMRclass,EU_AMRgene,EU_VFscore,USA_AMRscore,USA_AMRclass,USA_AMRgene,USA_VFscore
0.88,4.7,7.29,0.62,1.43,7.34,13.09,1.29,1.12,6.21,9.76,0.78,0.69,2.82,3.56,0.47,0.52,2.57,3.58,0.31
0.71,3.89,5.87,0.55,1.23,7.54,13.05,1.18,1.01,5.84,9.17,0.71,0.62,3.16,4.37,0.54,0.37,2.2,3.07,0.35
0.8,4.5,7.31,0.48,1.22,6.9,11.88,1.16,1.1,5.83,9.24,0.57,0.64,3.38,4.97,0.46,0.56,2.84,4.12,0.44
0.77,4.68,7.38,0.75,1.12,6.73,12.91,0.99,1.11,6.36,10.11,0.7,0.75,2.91,3.84,0.51,0.42,2.36,3.33,0.39
0.74,4.81,7.57,0.78,1.13,6.22,10.03,1.25,1.09,6.03,9.33,0.7,0.7,3.45,5.15,0.45,0.51,2.59,3.68,0.33
0.67,3.15,4.56,0.63,1.24,7.12,12.16,1.29,1.16,6.32,10.04,0.81,0.68,2.86,3.94,0.65,0.32,1.75,2.54,0.25
0.75,3.85,6.07,0.64,1.23,6.98,12.48,1.04,1.18,6.17,10.05,0.73,0.68,3.17,4.44,0.38,0.42,2.41,3.71,0.29
0.73,3.95,6.35,0.48,1.24,6.9,12.66,1.07,1.08,6.08,9.98,0.83,0.61,2.96,3.94,0.55,0.38,2.2,3.34,0.35
0.71,4.05,6.69,0.71,1.3,7.07,12.27,0.87,1.09,5.99,9.06,0.63,0.71,3.63,5.05,0.39,0.31,1.82,2.53,0.24
0.8,4.51,6.78,0.64,1.15,6.98,12.26,1.09,1.03,5.65,8.68,0.6,0.66,3.7,5.26,0.57,0.48,2.53,3.59,0.43
0.85,4.37,7.08,0.62,1.23,6.79,11.6,1.13,1.0,5.78,8.9,0.59,0.7,3.11,4.44,0.56,0.5,2.49,3.43,0.43
0.76,4.36,6.63,0.67,1.22,7.14,13.01,1.19,1.06,5.71,8.66,0.68,0.6,3.05,4.32,0.64,0.39,2.14,3.07,0.36
0.88,4.29,6.66,0.6,1.23,7.45,13.59,1.1,1.12,6.22,10.3,0.89,0.74,3.19,4.54,0.46,0.47,2.58,3.77,0.37
0.73,4.25,6.27,0.75,1.15,7.32,12.73,0.97,1.11,5.75,9.37,0.82,0.61,3.13,4.63,0.58,0.43,2.22,3.27,0.37
0.82,4.54,6.88,0.67,1.18,6.61,11.8,1.15,1.12,6.31,10.09,0.69,0.8,3.25,4.46,0.54,0.4,2.09,2.9,0.27
0.76,4.38,6.97,0.87,1.22,7.31,13.15,1.34,1.15,5.98,9.65,0.78,0.77,3.67,5.18,0.78,0.38,2.13,2.95,0.35
0.73,4.08,6.19,0.53,1.22,6.62,10.7,1.32,1.08,5.95,9.32,0.78,0.68,3.05,4.16,0.53,0.44,2.47,3.29,0.43
0.72,3.81,6.41,0.36,1.24,7.09,12.41,1.27,1.09,6.08,9.22,0.54,0.75,3.43,4.75,0.42,0.43,2.41,3.55,0.25
0.66,4.3,6.6,0.62,1.06,7.12,12.88,1.31,1.06,6.17,9.89,0.71,0.69,3.44,4.66,0.41,0.48,2.66,3.84,0.33
0.88,4.86,7.38,0.75,1.14,7.01,13.15,1.08,1.1,6.08,9.65,0.67,0.63,3.42,4.92,0.72,0.38,2.23,3.25,0.31
0.73,4.05,5.88,0.81,1.4,8.06,14.67,1.27,1.12,6.21,9.96,0.7,0.64,3.32,5.05,0.39,0.51,2.35,3.31,0.44
0.76,3.9,6.53,0.46,1.31,7.46,12.55,1.45,1.06,5.73,8.69,0.63,0.57,2.77,3.86,0.42,0.45,2.66,3.77,0.51
0.77,4.62,7.11,0.67,1.3,7.41,12.76,1.09,1.06,6.0,9.41,0.73,0.68,3.26,4.69,0.55,0.37,1.98,2.76,0.37
0.68,4.03,6.36,0.61,1.19,7.29,12.37,1.0,1.1,6.16,9.61,0.76,0.68,2.95,4.08,0.57,0.54,2.57,3.59,0.47
0.69,3.8,5.89,0.6,1.12,6.8,11.58,1.33,1.08,6.0,9.42,0.65,0.49,2.94,4.08,0.62,0.41,2.23,3.07,0.36
0.77,4.27,6.46,0.54,1.25,7.31,13.24,1.09,1.11,5.7,9.07,0.71,0.59,2.7,3.88,0.41,0.41,2.14,3.22,0.25
0.81,4.52,7.0,0.87,1.23,7.26,12.8,1.27,1.12,6.27,9.53,0.59,0.72,3.11,4.31,0.34,0.7,2.97,4.12,0.6
0.61,3.96,6.39,0.56,1.35,7.48,12.54,1.1,1.05,5.75,8.99,0.67,0.8,3.82,5.17,0.37,0.51,2.57,3.55,0.44
0.57,3.34,5.57,0.59,1.22,7.44,13.09,1.08,1.07,5.76,9.28,0.79,0.69,3.17,4.36,0.47,0.43,2.25,3.3,0.29
0.54,3.6,5.86,0.64,1.23,7.55,13.8,0.92,1.1,5.93,9.76,0.73,0.64,3.09,4.26,0.59,0.55,2.52,3.57,0.45
0.68,3.89,5.65,0.63,1.25,7.49,13.11,1.22,1.2,6.56,10.5,0.7,0.53,2.59,3.87,0.78,0.54,2.65,3.73,0.33
0.73,4.67,7.02,0.65,1.23,7.18,12.58,1.32,1.23,6.04,9.92,0.85,0.63,2.94,3.71,0.4,0.42,2.48,3.68,0.26
0.85,3.99,6.09,0.82,1.31,6.98,12.07,1.22,1.12,6.21,9.46,0.68,0.75,3.53,4.81,0.47,0.63,3.01,4.19,0.35
0.87,4.46,7.02,0.66,1.37,6.9,11.8,1.46,1.13,6.19,9.51,0.67,0.64,3.45,5.03,0.64,0.45,2.42,3.33,0.3
0.65,4.35,6.97,0.8,1.3,7.21,12.42,0.97,1.23,6.47,10.27,0.79,0.64,2.78,3.71,0.61,0.38,2.21,3.12,0.31
0.78,3.78,5.78,0.59,1.13,7.18,13.09,1.06,1.06,5.82,9.09,0.76,0.58,3.41,4.81,0.43,0.46,2.47,3.62,0.24
0.74,4.14,6.13,0.75,1.3,7.01,12.12,1.23,1.14,6.01,9.31,0.68,0.68,3.25,4.64,0.51,0.57,2.7,3.69,0.47
0.74,3.93,5.71,0.54,1.23,7.23,12.9,1.18,1.08,6.28,9.85,0.73,0.74,3.42,4.94,0.51,0.47,2.42,3.39,0.41
0.65,4.1,6.19,0.55,1.29,7.64,13.22,1.06,1.04,5.85,9.32,0.67,0.69,2.94,4.14,0.42,0.55,2.74,3.92,0.42
0.8,4.12,6.17,0.5,1.21,6.85,11.57,1.14,1.12,6.01,9.29,0.69,0.77,3.49,4.75,0.41,0.53,2.53,3.42,0.34
0.76,3.93,5.99,0.68,1.27,7.11,12.6,1.06,1.06,6.21,9.92,0.7,0.83,3.44,4.86,0.33,0.39,2.43,3.56,0.38
0.68,4.21,7.04,0.69,1.3,6.94,12.17,0.83,1.08,5.86,9.09,0.77,0.61,2.9,4.09,0.51,0.49,2.43,3.54,0.4
0.79,4.69,7.19,0.83,1.16,6.83,11.75,0.98,1.12,6.02,9.69,0.83,0.49,3.09,4.36,0.49,0.56,2.64,3.76,0.44
0.87,4.24,6.58,0.75,1.39,7.2,11.83,1.1,1.14,6.14,9.77,0.81,0.61,2.89,4.0,0.49,0.39,2.1,2.97,0.33
0.64,4.18,6.83,0.69,1.28,7.24,11.91,1.38,1.09,5.87,9.42,0.76,0.66,3.01,4.11,0.48,0.41,2.41,3.47,0.32
0.7,3.72,6.3,0.65,1.17,7.23,12.5,1.16,1.08,5.81,9.02,0.75,0.53,3.01,4.24,0.51,0.45,2.34,3.27,0.33
0.79,4.09,6.07,0.51,1.2,7.39,13.21,1.13,0.99,5.86,9.0,0.52,0.59,3.54,5.11,0.43,0.42,2.18,3.08,0.28
0.72,3.77,5.53,0.75,1.27,7.19,11.63,1.25,1.0,5.81,8.85,0.55,0.56,3.04,4.45,0.68,0.49,2.38,3.44,0.39
0.75,4.32,7.0,0.68,1.24,6.99,11.32,1.47,1.06,6.22,9.5,0.67,0.65,2.95,3.84,0.38,0.44,2.42,3.37,0.41
0.79,4.22,6.85,0.71,1.19,6.98,12.17,1.25,1.08,6.09,9.8,0.78,0.49,2.99,4.23,0.56,0.39,2.17,2.89,0.31
0.66,3.54,5.1,0.66,1.37,7.49,13.34,1.3,1.14,6.23,9.83,0.74,0.59,3.21,4.69,0.37,0.51,2.57,3.81,0.35
0.7,4.04,6.29,0.59,1.2,6.56,11.18,1.0,1.15,6.15,9.82,0.85,0.61,3.11,4.14,0.54,0.45,2.37,3.5,0.43
0.77,4.32,6.29,0.76,1.2,7.24,13.45,1.12,1.06,5.98,9.45,0.65,0.52,3.0,4.15,0.54,0.46,2.39,3.21,0.41
0.83,4.68,7.72,0.83,1.25,7.75,13.75,1.18,1.0,5.73,9.15,0.63,0.67,3.36,4.71,0.5,0.39,2.3,3.4,0.39
0.92,4.95,7.47,0.68,1.09,7.24,13.2,0.98,1.08,5.79,9.07,0.72,0.63,3.26,4.3,0.48,0.46,2.15,2.94,0.29
0.85,4.76,7.92,0.69,1.21,6.72,11.19,0.96,1.19,5.93,8.94,0.68,0.64,2.64,3.49,0.42,0.55,2.84,4.2,0.41
0.61,2.96,3.88,0.73,1.16,6.63,11.12,1.36,1.0,5.89,9.17,0.69,0.56,2.6,3.7,0.46,0.54,2.74,3.9,0.41
0.63,3.65,6.33,0.58,1.23,7.19,12.29,0.99,1.08,6.02,9.31,0.72,0.54,2.64,3.61,0.58,0.41,2.42,3.27,0.35
0.84,4.34,6.76,0.6,1.11,6.54,10.99,1.03,1.2,6.03,9.95,0.89,0.63,3.07,4.36,0.5,0.45,2.12,2.86,0.25
0.79,4.37,6.87,0.6,1.32,7.54,14.11,1.27,1.07,6.18,9.99,0.7,0.63,3.66,4.99,0.62,0.42,2.4,3.48,0.38
0.68,4.47,7.22,0.63,1.11,7.18,13.14,1.11,1.16,6.26,9.75,0.8,0.54,3.06,4.29,0.36,0.49,2.5,3.56,0.34
0.78,4.06,5.95,0.55,1.21,6.92,11.65,0.95,1.09,5.86,9.28,0.68,0.68,3.24,4.64,0.46,0.44,2.19,2.98,0.39
0.78,3.91,5.86,0.41,1.38,7.51,12.64,1.11,1.11,6.05,9.7,0.69,0.84,3.64,5.4,0.52,0.47,2.56,3.75,0.29
0.82,4.76,7.49,0.65,1.19,7.11,12.2,1.1,1.12,5.92,9.53,0.74,0.57,3.29,4.48,0.48,0.59,3.07,4.52,0.4
0.76,4.21,6.47,0.64,1.15,7.12,11.94,1.11,1.15,6.56,10.41,0.79,0.69,3.09,3.91,0.65,0.54,2.56,3.4,0.44
0.85,4.42,6.63,0.62,1.11,6.82,12.57,0.96,0.99,5.74,9.13,0.73,0.58,2.59,3.62,0.57,0.4,2.18,3.02,0.26
0.72,3.94,5.84,0.53,1.32,8.08,14.61,1.21,1.18,6.24,9.6,0.76,0.71,3.94,5.69,0.62,0.43,2.48,3.53,0.39
0.72,3.85,5.73,0.7,1.3,7.58,13.38,1.12,1.11,6.14,10.13,0.76,0.69,3.54,5.09,0.54,0.36,1.83,2.55,0.38
0.87,4.0,6.26,0.33,1.08,6.48,10.99,1.0,1.12,6.34,9.89,0.74,0.6,3.18,4.45,0.58,0.43,2.32,3.21,0.52
0.77,3.67,5.69,0.51,1.2,7.1,12.11,1.13,1.08,6.04,9.5,0.68,0.67,3.2,4.48,0.55,0.43,2.32,3.42,0.43
0.74,3.92,5.6,0.81,1.41,7.59,13.27,1.13,1.11,5.96,9.69,0.74,0.77,3.57,5.08,0.37,0.56,2.65,3.74,0.53
