Global_AMRscore,Global_AMRclass,Global_AMRgene,Global_VFscore,China_AMRscore,China_AMRclass,China_AMRgene,China_VFscore,Africa_AMRscore,Africa_AMRclass,Africa_AMRgene,Africa_VFscore,Europe_AMRscore,Europe_AMRclass,Europe_AMRgene,Europe_VFscore,USA_AMRscore,USA_AMRclass,USA_AMRgene,USA_VFscore
1.474,6.112,8.574,1.234,1.5286666666666666,6.162,7.948666666666667,2.3473333333333333,1.276,7.008666666666667,10.864,0.7146666666666667,1.4853333333333334,5.744666666666666,8.258,0.78,1.588,6.022666666666667,8.516,1.0093333333333334
1.4613333333333334,6.018666666666666,8.366666666666667,1.2346666666666666,1.5126666666666666,6.129333333333333,7.997333333333334,2.2253333333333334,1.262,7.016666666666667,10.812,0.7286666666666667,1.4746666666666666,5.748,8.130666666666666,0.7926666666666666,1.592,6.003333333333333,8.496,1.0086666666666666
1.4546666666666668,6.000666666666667,8.468,1.238,1.5153333333333334,6.08,7.895333333333333,2.3106666666666666,1.284,7.006666666666667,10.861333333333333,0.7286666666666667,1.4366666666666668,5.684,8.154,0.704,1.5926666666666667,6.105333333333333,8.641333333333334,1.0033333333333334
1.4513333333333334,6.017333333333333,8.511333333333333,1.2786666666666666,1.548,6.2,8.038666666666666,2.2933333333333334,1.2906666666666666,6.998666666666667,10.882666666666667,0.736,1.4586666666666666,5.636,8.005333333333333,0.7733333333333333,1.596,6.1386666666666665,8.674666666666667,0.9653333333333334
1.4453333333333334,5.990666666666667,8.443333333333333,1.268,1.5386666666666666,6.155333333333333,7.999333333333333,2.3333333333333335,1.2553333333333334,6.951333333333333,10.776,0.7393333333333333,1.4766666666666666,5.666666666666667,8.014666666666667,0.7793333333333333,1.6453333333333333,6.332666666666666,8.952666666666667,1.0426666666666666
1.4866666666666666,6.026666666666666,8.414,1.216,1.5393333333333334,6.066666666666666,7.926,2.207333333333333,1.2686666666666666,6.990666666666667,10.807333333333334,0.7293333333333333,1.466,5.772666666666667,8.141333333333334,0.7493333333333333,1.5686666666666667,6.094666666666667,8.506,0.9933333333333333
1.454,5.852,8.162666666666667,1.246,1.5826666666666667,6.188666666666666,7.926,2.291333333333333,1.2886666666666666,7.043333333333333,10.86,0.7333333333333333,1.46,5.656,7.960666666666667,0.7273333333333334,1.588,6.09,8.538,0.9853333333333333
1.496,6.080666666666667,8.521333333333333,1.1673333333333333,1.5586666666666666,6.184666666666667,7.996666666666667,2.3626666666666667,1.2613333333333334,6.967333333333333,10.734666666666667,0.7153333333333334,1.41,5.57,7.932,0.742,1.5913333333333333,6.070666666666667,8.592666666666666,1.0113333333333334
1.4673333333333334,5.999333333333333,8.34,1.27,1.578,6.191333333333334,7.981333333333334,2.259333333333333,1.27,6.998,10.798666666666668,0.7413333333333333,1.4746666666666666,5.858,8.414,0.7866666666666666,1.574,6.032,8.504666666666667,0.9766666666666667
1.4453333333333334,5.997333333333334,8.323333333333334,1.2093333333333334,1.5693333333333332,6.166666666666667,7.891333333333334,2.332,1.2746666666666666,7.007333333333333,10.878,0.71,1.484,5.718666666666667,8.127333333333333,0.806,1.5593333333333332,6.012666666666667,8.536,0.978
1.452,5.986,8.404,1.2333333333333334,1.5233333333333334,6.046,7.884,2.3353333333333333,1.2933333333333332,7.02,10.79,0.728,1.4973333333333334,5.863333333333333,8.397333333333334,0.774,1.582,6.078,8.675333333333333,0.9986666666666667
1.4773333333333334,5.922,8.308,1.188,1.536,6.185333333333333,8.062,2.3053333333333335,1.29,7.026666666666666,10.83,0.7333333333333333,1.4306666666666668,5.584,7.8806666666666665,0.6913333333333334,1.5833333333333333,6.0906666666666665,8.539333333333333,0.958
